5 Records,5 hồ sơ,
5 days ago,"Quality,Quản lý chất lượng",
; not allowed in condition,; không được cho phép trong điều kiện,
<b>{0}</b> is not a valid URL,"Production Plan,Kế hoạch sản xuất",
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","Education,Đào tạo",
"<div class=""well"">
    Edit list of Series in the box. Rules:
    <ul>
        <li>Each Series Prefix on a new line.</li>
        <li>Allowed special characters are ""/"" and ""-""</li>
        <li>
            Optionally, set the number of digits in the series using dot (.)
            followed by hashes (#). For example, "".####"" means that the series
            will have four digits. Default is five digits.
        </li>
        <li>
            You can also use variables in the series name by putting them
            between (.) dots
            <br>
            Supported Variables:
            <ul>
                <li><code>.YYYY.</code> - Year in 4 digits</li>
                <li><code>.YY.</code> - Year in 2 digits</li>
                <li><code>.MM.</code> - Month</li>
                <li><code>.DD.</code> - Day of month</li>
                <li><code>.WW.</code> - Week of the year</li>
                <li><code>.FY.</code> - Fiscal Year</li>
                <li>
                    <code>.{fieldname}.</code> - fieldname on the document e.g.
                    <code>branch</code>
                </li>
            </ul>
        </li>
    </ul>
    Examples:
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
",# Các field chứng từ quan trọng,
"<h3>Print Format Help</h3>
<hr>
<h4>Introduction</h4>
<p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p>
<p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p>
<hr>
<h4>References</h4>
<ol>
	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Templating Language</a></li>
	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li>
</ol>
<hr>
<h4>Example</h4>
<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Customer Name&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=""table table-bordered""&gt;
	&lt;tbody&gt;
		&lt;tr&gt;
			&lt;th&gt;Sr&lt;/th&gt;
			&lt;th&gt;Item Name&lt;/th&gt;
			&lt;th&gt;Description&lt;/th&gt;
			&lt;th class=""text-right""&gt;Qty&lt;/th&gt;
			&lt;th class=""text-right""&gt;Rate&lt;/th&gt;
			&lt;th class=""text-right""&gt;Amount&lt;/th&gt;
		&lt;/tr&gt;
		{%- for row in doc.items -%}
		&lt;tr&gt;
			&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;
			&lt;td style=""width: 20%;""&gt;
				{{ row.item_name }}
				{% if row.item_code != row.item_name -%}
				&lt;br&gt;Item Code: {{ row.item_code}}
				{%- endif %}
			&lt;/td&gt;
			&lt;td style=""width: 37%;""&gt;
				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""rate"", doc) }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""amount"", doc) }}&lt;/td&gt;
		&lt;/tr&gt;
		{%- endfor -%}
	&lt;/tbody&gt;
&lt;/table&gt;</code></pre>
<hr>
<h4>Common Functions</h4>
<table class=""table table-bordered"">
	<tbody>
		<tr>
			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>
			<td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td>
		</tr>
		<tr>
			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>
			<td>Get value from another document.</td>
		</tr>
	</tbody>
</table>
","Reference Date,Ngày tham chiếu",
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","Outstanding Amount,Số tiền còn nợ",
"<h5 class=""text-muted uppercase"">Or</h5>","Net Total,Tổng cộng",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>","Rate,Đơn giá",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>
","Qty,Số lượng",
"<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p>
<p>If you create a separate webform every year to capture feedback from employees add a 
 field named year in doctype and add a filter <b>year = 2023</b></p>
","Remarks,Ghi chú",
"<p>Set context before rendering a template. Example:</p><p>
</p><div><pre><code>
context.project = frappe.get_doc(""Project"", frappe.form_dict.name)
</code></pre></div>","Status,Trạng thái",
"<p>To interact with above HTML you will have to use `root_element` as a parent selector.</p><p>For example:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// here root_element is provided by default
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""New content"";
</code></pre>","Draft,Nháp",
"<p>Your OTP secret on {0} has been reset. If you did not perform this reset and did not request it, please contact your System Administrator immediately.</p>","Submitted,Đã nộp",
<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.,"Rejected,Từ chối",
A featured post must have a cover image,Một bài đăng nổi bật phải có ảnh bìa,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Một danh sách các nguồn App Khách hàng sẽ có quyền truy cập đến sau khi người dùng cho phép nó. <br> ví dụ như dự án,
A new account has been created for you at {0},Một tài khoản mới đã được tạo ra cho bạn tại {0},
A recurring {0} {1} has been created for you via Auto Repeat {2}.,Một {0} {1} định kỳ đã được tạo cho bạn thông qua Tự động lặp lại {2}.,
A symbol for this currency. For e.g. $,Biểu tượng đồng tiền này. Ví dụ như $,
A word by itself is easy to guess.,Một từ đơn giản dễ đoán,
A4,A4,
ALL,TẤT CẢ,
API,API,
API Access,Quyền truy cập API,
API Endpoint,Điểm cuối API,
API Endpoint Args,API đối tượng điểm cuối,
API Key,API Key,
API Method,Phương pháp API,
API Secret,API Bí mật,
ASC,ASC,
About Us Settings,thiết lập mục 'về chúng tôi',
About Us Team Member,Thành viên nhóm 'Về chúng tôi',
About {0} minute remaining,Khoảng {0} phút còn lại,
About {0} minutes remaining,Khoảng {0} phút còn lại,
About {0} seconds remaining,Khoảng {0} giây còn lại,
Accept Payment,Chấp nhận thanh toán,
Access Key ID,ID khóa truy cập,
Access Key Secret,Truy cập bí mật khóa,
Access Log,Nhật ký truy cập,
Access Token,Mã truy cập,
Access Token URL,Truy cập URL Token,
Access not allowed from this IP Address,Truy cập không được phép từ Địa chỉ IP này,
Account,Tài khoản,
Accounts Manager,Quản lý tài khoản,
Accounts User,Người dùng kế toán,
Action,thao tác,
Action / Route,Hành động / Lộ trình,
Action Failed,thao tác thất bại,
Action Timeout (Seconds),Thời gian chờ hành động (Giây),
Action Type,Loại hành động,
Actions,Các thao tác,
Active,có hiệu lực,
Active Domains,Kích hoạt miền,
Active Sessions,Số phiên tích cực,
Activity,Hoạt động,
Activity Log,Nhật ký hoạt động,
Add,Thêm,
Add / Update,Thêm / Cập nhật,
Add A New Rule,Thêm một quy tắc mới,
Add Attachment,Thêm bản đính kèm,
Add Chart to Dashboard,Thêm biểu đồ vào bảng điều khiển,
Add Child,Thêm mẫu con,
Add Column,Thêm cột,
Add Contact,Add Contact,
Add Contacts,Thêm liên hệ,
Add Container,Thêm vùng chứa,
Add Custom Tags,Thêm thẻ tùy chỉnh,
Add Filters,Thêm bộ lọc,
Add Gray Background,Thêm nền xám,
Add Group,Thêm nhóm,
Add Multiple,Thêm Phức Hợp,
Add New Permission Rule,Add New phép tắc,
Add Participants,Thêm người tham gia,
Add Review,Thêm nhận xét,
Add Row,Thêm dòng,
Add Signature,Thêm Chữ ký,
Add Subscribers,Thêm Subscribers,
Add Total Row,Tổng số Row thêm,
Add Unsubscribe Link,Thêm Hủy đăng ký liên kết,
Add User Permissions,Thêm quyền người dùng,
Add a New Role,Thêm một vai trò mới,
Add a comment,Thêm một lời nhận xét,
Add a new section,Thêm mục mới,
Add a {0} Chart,Thêm biểu đồ {0},
Add script for Child Table,Thêm tập lệnh cho Bảng con,
Add to Dashboard,Thêm vào Bảng điều khiển,
Add to ToDo,Thêm vào Công việc,
Add to table,Thêm vào bảng,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Thêm HTML vào trong &lt;head&gt; của trang web, chủ yếu được sử dụng để xác minh trang web và SEO",
Added {0},Đã thêm {0},
Added {0} ({1}),Thêm {0} ({1}),
Additional Permissions,Quyền thêm,
Address,"Settings,Cài đặt",
Address And Contacts,Địa chỉ và Liên hệ,
Address Line 1,Địa chỉ Line 1,
Address Line 2,Địa chỉ Dòng 2,
Address Template,Địa chỉ Template,
Address Title,Địa chỉ Tiêu đề,
Address Title is mandatory.,Địa chỉ Tiêu đề là bắt buộc.,
Address Type,Địa chỉ Loại,
Address and other legal information you may want to put in the footer.,Địa chỉ và thông tin pháp lý khác mà bạn có thể muốn đặt ở chân.,
Addresses,Địa chỉ,
Addresses And Contacts,Địa chỉ và danh bạ,
Adds a custom field to a DocType,Thêm một thông tin một DOCTYPE,
Administration,Quản trị,
Administrator,Quản trị viên,
Administrator Logged In,Quản trị Logged In,
Administrator accessed {0} on {1} via IP Address {2}.,Quản trị viên truy cập {0} vào {1} qua IP Address {2}.,
Advanced,Nâng cao,
Advanced Control,Kiểm soát nâng cao,
Advanced Search,Tìm kiếm nâng cao,
Advanced Settings,Cài đặt nâng cao,
After Cancel,Sau khi hủy,
After Delete,Sau khi xóa,
After Save,Sau khi lưu,
After Save (Submitted Document),Sau khi lưu (Tài liệu đã gửi),
After Submit,Sau khi gửi,
Aggregate Function Based On,Hàm tổng hợp dựa trên,
Aggregate Function field is required to create a dashboard chart,Trường hàm tổng hợp được yêu cầu để tạo biểu đồ bảng điều khiển,
Alert,Cảnh báo,
Align Labels to the Right,Căn chỉnh Nhãn ở bên phải,
Align Right,Sắp xếp đúng,
Align Value,Căn Giá trị,
All,Tất cả,
All Day,Tất cả các ngày,
All Images attached to Website Slideshow should be public,Tất cả hình ảnh đính kèm với Website Slideshow phải là công khai,
All Records,Tất cả hồ sơ,
All Time,Mọi lúc,
All customizations will be removed. Please confirm.,Tất cả các tùy chỉnh sẽ được gỡ bỏ. Vui lòng xác nhận.,
All-uppercase is almost as easy to guess as all-lowercase.,All-hoa là gần như là dễ đoán như tất cả-chữ thường.,
Allocated To,Để phân bổ,
Allot Points To Assigned Users,Phân bổ điểm cho người dùng được chỉ định,
Allow,Cho phép,
Allow API Indexing Access,Cho phép quyền truy cập lập chỉ mục API,
Allow Auto Repeat,Cho phép tự động lặp lại,
Allow Bulk Edit,Cho phép Chỉnh sửa Hàng loạt,
Allow Comments,Cho phép Comments,
Allow Consecutive Login Attempts ,Cho phép thử liên tục đăng nhập,
Allow Delete,Cho phép Xóa,
Allow Dropbox Access,Cho phép truy cập Dropbox,
Allow Google Calendar Access,Cho phép truy cập lịch Google,
Allow Google Contacts Access,Cho phép truy cập danh bạ Google,
Allow Google Drive Access,Cho phép truy cập Google Drive,
Allow Guest,Cho phép khách,
Allow Guest to View,Cho phép Khách đến Xem,
Allow Guests to Upload Files,Cho phép khách tải lên tập tin,
Allow Import (via Data Import Tool),Cho phép nhập khẩu (thông qua Công cụ Nhập dữ liệu),
Allow Incomplete Forms,Cho phép hình thức không đầy đủ,
Allow Login After Fail,Cho phép đăng nhập sau khi thất bại,
Allow Login using Mobile Number,Cho phép đăng nhập sử dụng số di động,
Allow Login using User Name,Cho phép Đăng nhập bằng Tên Người dùng,
Allow Modules,Cho phép mô-đun,
Allow Print,cho phép In,
Allow Print for Cancelled,cho phép để hủy,
Allow Print for Draft,cho phép in nháp,
Allow Read On All Link Options,Cho phép tùy chọn đọc trên tất cả liên kết,
Allow Rename,Cho phép đổi tên,
Allow Roles,cho phép Vai trò,
Allow Self Approval,Cho phép tự phê duyệt,
Allow approval for creator of the document,Cho phép phê duyệt đối với người tạo tài liệu,
Allow document creation via Email,Cho phép tạo tài liệu qua Email,
Allow events in timeline,Cho phép sự kiện trong dòng thời gian,
Allow in Quick Entry,Cho phép trong mục nhập nhanh,
Allow on Submit,Cho phép khi Đệ trình,
Allow only one session per user,Chỉ cho phép một phiên mỗi người dùng,
Allow page break inside tables,Cho phép trang phá vỡ bên trong bảng,
Allow saving if mandatory fields are not filled,Cho phép tiết kiệm nếu các lĩnh vực bắt buộc không được điền,
Allow user to login only after this hour (0-24),Cho phép người dùng đăng nhập chỉ sau giờ này (0-24),
Allow user to login only before this hour (0-24),Cho phép người dùng đăng nhập chỉ trước khi giờ này (0-24),
Allowed,Cho phép,
Allowed In Mentions,Được phép trong Mentions,
"Allowing DocType, DocType. Be careful!","Cho phép DocType, DocType. Chị cẩn thận đó!",
Already Registered,Đã đăng ký,
Already in the following Users ToDo list:{0},Đã có trong danh sách Việc cần làm của Người dùng sau: {0},
Also adding the dependent currency field {0},Thêm trường ngoại tệ phụ thuộc {0},
Also adding the status dependency field {0},Đồng thời thêm trường phụ thuộc trạng thái {0},
"Always add ""Draft"" Heading for printing draft documents",Luôn luôn thêm &quot;Dự thảo&quot; Heading cho dự thảo văn bản in ấn,
Amend,Sửa đổi,
Amended From,Sửa đổi Từ,
Amending,Sửa đổi,Freeze message while amending a document
Amount,"Reports,Báo cáo",
Amount Based On Field,Số tiền Dựa Trên Dòng,
Amount Field,Số tiền Dòng,
An error occurred while setting Session Defaults,Đã xảy ra lỗi trong khi cài đặt Mặc định phiên,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Một biểu tượng tập tin với phần mở rộng .ico. Nên là 16 x 16 px. Được tạo ra bằng cách sử dụng favicon. [favicon-generator.org],
Analytics,phân tích,
Ancestors Of,Tổ tiên của,
Annual,Hàng năm,
Another transaction is blocking this one. Please try again in a few seconds.,Giao dịch khác là chặn này. Vui lòng thử lại trong vài giây.,
"Another {0} with name {1} exists, select another name","Khác {0} với tên {1} tồn tại, chọn tên khác",
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,Bất kỳ ngôn ngữ máy in dựa trên chuỗi có thể được sử dụng. Viết lệnh thô đòi hỏi kiến thức về ngôn ngữ bản địa của máy in được cung cấp bởi nhà sản xuất máy in. Vui lòng tham khảo hướng dẫn dành cho nhà phát triển được cung cấp bởi nhà sản xuất máy in về cách viết lệnh gốc của họ. Các lệnh này được hiển thị ở phía máy chủ bằng Ngôn ngữ tạo khuôn Jinja.,
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.","Ngoài hệ thống quản lý, vai trò với Set Permissions tài phải có thể thiết lập quyền truy cập cho người dùng khác cho rằng Document Type.",
App,App,
App Access Key,App Access Key,
App Client ID,App Client ID,
App Client Secret,App Khách hàng Bí mật,
App Name,Tên ứng dụng,
App Secret Key,App bí mật chính,
App {0} is not installed,{0} ứng dụng không được cài đặt,
Append Emails to Sent Folder,Nối các email vào thư mục đã gửi,
Append To,Nối Để,
Append To can be one of {0},Nối Để có thể là một trong {0},
Applicable Document Types,Các loại tài liệu áp dụng,
Applicable For,Đối với áp dụng,
Application Logo,Logo ứng dụng,
Application Name,Tên ứng dụng,
Application Version,Phiên bản ứng dụng,
Applied On,Áp dụng trên,
Apply,Ứng dụng,
Apply Assignment Rule,Áp dụng quy tắc chuyển nhượng,Button in list view actions menu
Apply Document Permissions,Áp dụng quyền đối với tài liệu,
Apply Only Once,Chỉ áp dụng một lần,
Apply Strict User Permissions,Áp dụng Quyền người dùng nghiêm ngặt,
Apply To All Document Types,Áp dụng cho tất cả các loại tài liệu,
Apply this rule if the User is the Owner,Áp dụng quy tắc này nếu người dùng là chủ sở hữu,
Apply this rule only once per document,Chỉ áp dụng quy tắc này một lần cho mỗi tài liệu,
Apply to all Documents Types,Áp dụng cho tất cả các loại tài liệu,
Applying: {0},Áp dụng: {0},
Appreciate,Đánh giá,
Appreciation,Sự đánh giá,
Approval Required,Chấp nhận những thứ thật cần thiết,
Archive,lưu trữ,
Archived,Lưu trữ,
Archived Columns,Cột lưu trữ,
Are you sure you want to delete all rows?,Bạn có chắc chắn muốn xóa tất cả các hàng?,
Are you sure you want to delete the attachment?,Bạn có chắc bạn muốn xóa các tập tin đính kèm?,
Are you sure you want to generate a new report?,Bạn có chắc chắn muốn tạo một báo cáo mới không?,
Are you sure you want to merge {0} with {1}?,Bạn có chắc chắn muốn hợp nhất {0} với {1} không?,
Are you sure you want to relink this communication to {0}?,Bạn có chắc chắn bạn muốn liên kết lại thông tin liên lạc này để {0}?,
Are you sure you want to reset all customizations?,Bạn có chắc chắn muốn đặt lại tất cả các tùy chỉnh không?,
Are you sure you want to save this document?,Bạn có chắc chắn muốn lưu tài liệu này không?,
Are you sure?,Bạn có chắc không?,
Arial,Arial,
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","Như một thực hành tốt nhất, không chỉ định cùng một bộ quy tắc để cho phép Vai trò khác nhau. Thay vào đó, thiết lập nhiều vai trò cùng một người dùng.",
Assign Condition,Chỉ định điều kiện,
Assign To,Để gán,Button in list view actions menu
Assign To Users,Chỉ định cho người dùng,
"Assign one by one, in sequence","Chỉ định từng cái một, theo thứ tự",
Assign to me,Gán cho tôi,
Assign to the one who has the least assignments,Chỉ định cho người có ít bài tập nhất,
Assign to the user set in this field,Gán cho tập người dùng trong trường này,
Assigned,giao,
Assigned By,Giao By,
Assigned By Full Name,Giao By Tên đầy đủ,
Assigned To,Để giao,
Assigned To/Owner,Để giao / chủ sở hữu,
Assignment,Chuyển nhượng,
Assignment Completed,phân Hoàn thành,
Assignment Days,Ngày chuyển nhượng,
Assignment Rule,Quy tắc chuyển nhượng,
Assignment Rule Day,Ngày quy tắc chuyển nhượng,
Assignment Rule User,Quy tắc chuyển nhượng người dùng,
Assignment Rules,Quy tắc chuyển nhượng,
Assignment Update on {0},Cập nhật bài tập trên {0},
Assignment for {0} {1},Bài tập cho {0} {1},
Assignments,Bài tập,
Atleast one field of Parent Document Type is mandatory,Atleast một trường thuộc loại tài liệu cha mẹ là bắt buộc,
Attach,Đính kèm,
Attach Document Print,Đính kèm tài liệu In,
Attach Image,Hình ảnh đính kèm,
Attach Print,Đính kèm In,
Attach a web link,Đính kèm một liên kết web,
Attach files / urls and add in table.,Đính kèm tệp / url và thêm vào bảng.,
Attached File,Tập tin đính kèm,
Attached To DocType,Để gắn DocType,
Attached To Field,Đã gắn vào trường,
Attached To Name,Để gắn Tên,
Attachment,Đính kèm,
Attachment Limit (MB),Giới hạn Attachment (MB),
Attachment Link,Liên kết tệp đính kèm,
Attachment Removed,Đã gỡ bỏ đính kèm,
Attachments,File đính kèm,
Attempting Connection to QZ Tray...,Đang cố gắng kết nối với khay QZ ...,
Attempting to launch QZ Tray...,Đang cố gắng khởi chạy Khay QZ ...,
Auth URL Data,Dữ liệu URL Auth,
Authentication,Xác thực,
Authentication Apps you can use are: ,Ứng dụng xác thực bạn có thể sử dụng là:,
Authentication failed while receiving emails from Email Account: {0}.,Xác thực không thành công khi nhận email từ Tài khoản Email: {0}.,
Author,tác giả,
Authorization Code,Mã ủy quyền,
Authorize API Indexing  Access,Cho phép quyền truy cập lập chỉ mục API,
Authorize Google Calendar Access,Cho phép truy cập lịch Google,
Authorize Google Contacts Access,Cho phép truy cập danh bạ Google,
Authorize Google Drive Access,Cho phép truy cập Google Drive,
Authorize URL,Ủy quyền URL,
Authorized,Ủy quyền,
Auto,Tự động,
Auto Email Report,Báo cáo Email tự động,
Auto Name,Tên tự động,
Auto Repeat,Tự động lặp lại,
Auto Repeat Document Creation Failed,Tạo lại tài liệu tự động không thành công,
Auto Repeat created for this document,Tự động lặp lại được tạo cho tài liệu này,
Auto Repeat failed for {0},Tự động lặp lại thất bại trong {0},
Auto Reply Message,Auto Reply tin nhắn,
Auto assignment failed: {0},Tự động gán không thành công: {0},
Automatic Linking can be activated only for one Email Account.,Liên kết tự động chỉ có thể được kích hoạt cho một Tài khoản Email.,
Automatic Linking can be activated only if Incoming is enabled.,Liên kết tự động chỉ có thể được kích hoạt nếu Bật đến.,
Automatically Assign Documents to Users,Tự động gán tài liệu cho người dùng,
Automation,Tự động hóa,
Avatar,Avatar,
Average,Trung bình cộng,
Average of {0},Trung bình {0},
Avoid dates and years that are associated with you.,Tránh ngày và năm đó được liên kết với bạn.,
Avoid recent years.,Tránh những năm gần đây.,
Avoid sequences like abc or 6543 as they are easy to guess,Tránh trình tự như abc hay 6543 khi họ rất dễ đoán,
Avoid years that are associated with you.,Tránh năm có liên quan đến bạn.,
Awaiting Password,Đang chờ mật khẩu,
Awaiting password,Đang chờ Mật khẩu,
BCC,BCC,
Back to Desk,Quay lại Desk,
Back to Home,Trở về nhà,
Back to Login,Quay lại đăng nhập,
Background Color,Màu nền,
Background Jobs,Công việc nền,
Background Workers,Người làm công nền,
Backing up to Google Drive.,Sao lưu lên Google Drive.,
Backup Details,Chi tiết dự phòng,
Backup Files,Tập tin sao lưu,
Backup Folder ID,ID thư mục sao lưu,
Backup Folder Name,Tên thư mục sao lưu,
Backup Frequency,Tần số sao lưu,
Backup job is already queued. You will receive an email with the download link,Công việc sao lưu đã được xếp hàng đợi. Bạn sẽ nhận được một email với liên kết tải xuống,
Backup public and private files along with the database.,Sao lưu các tệp công khai và riêng tư cùng với cơ sở dữ liệu.,
Backups,Sao lưu,
Banner,Biểu ngữ,
Banner HTML,Biểu ngữ HTML,
Banner Image,Banner Image,
Banner is above the Top Menu Bar.,BIểu ngữ nằm trên cùng thanh menu,
Bar,Quán ba,
Barcode,Mã vạch,
Base Distinguished Name (DN),Cơ sở tên phân biệt (DN),
Base URL,URL cơ sở,
Based On,Dựa trên,
Based on Field,Dựa trên lĩnh vực,
Based on Permissions For User,Dựa trên sự chấp thuận đối với người sử dụng,
Basic,Cơ bản,
Before Cancel,Trước khi hủy,
Before Delete,Trước khi xóa,
Before Insert,Trước khi chèn,
Before Save,Trước khi lưu,
Before Save (Submitted Document),Trước khi lưu (Tài liệu đã gửi),
Before Submit,Trước khi gửi,
Beginner,Người bắt đầu,
Beginning with,Bắt đầu bằng,
Beta,thử nghiệm,
Better add a few more letters or another word,Nên thêm một vài chữ cái hoặc một từ,
Between,Giữa,
Billing,thanh toán,
Bio,Sinh học,
Birth Date,Ngày sinh,
Blank Template,Mẫu trống,
Block Module,Khối mô đun,
Block Modules,Khối mô đun,
Blocked,Đã ngăn lại,
Blog,Blog,
Blog Category,Mục Blog,
Blog Intro,Giới thiệu Blog,
Blog Introduction,Blog Giới thiệu,
Blog Post,Bài Blog,
Blog Settings,Thiết lập Blog,
Blog Title,Nhan đề blog,
Blogger,Blogger,
Blue,Màu xanh da trời,
Bold,Dũng cảm,
Bot,Máy,
Both DocType and Name required,Đều phải có cả Dạng văn bản và Tên,
Both login and password required,Phải có cả tên đăng nhập và mật khẩu,
Bottom,Dưới cùng,
Bounced,đã thải hồi,
Brand,Nhãn,
Brand HTML,Nhãn HTML,
Brand Image,Hình ảnh của nhãn hàng,
Breadcrumbs,Đường dẫn,
Browser,Trình duyệt,
Browser Version,Phiên bản trình duyệt,
Browser not supported,Trình duyệt không được hỗ trợ,
Brute Force Security,Brute Force Security,
Bucket Name,Tên nhóm,
Bulk Delete,Xóa hàng loạt,
Bulk Edit {0},Chỉnh sửa   hàng loạt {0},
Bulk Update,Cật nhật hàng loạt,
Button,Nút,
Button Gradients,Nút Gradients,
Button Help,nút Trợ giúp,
Button Label,Nút Nhãn,
Button Rounded Corners,Nút tròn góc,
Button Shadows,Bóng nút,
