Please set the initiator name and the security credential,Vui lòng đặt tên người khởi tạo và thông tin xác thực bảo mật,
Private Key,Khóa cá nhân,
Processing...,Chế biến...,
Public Key,Khóa công khai,
Publishable Key,Phím có thể xuất bản được,
Razorpay Settings,Cài đặt Razorpay,
Razorpay Signature Verification Failed,Xác minh Chữ ký Razorpay Không thành công,
Redirect To,Chuyển đến,
Redirect URL,CHuyển hướng URL,
Reload,Nạp lại,
Reserved Balance,Số dư dự trữ,
Sandbox,Hộp cát,
Secret Key,Chìa khoá bí mật,
Security Credential,Thông tin xác thực bảo mật,
Seems API Key or API Secret is wrong !!!,Dường như khóa API hoặc API ẩn có sai sót !!!,
Seems Publishable Key or Secret Key is wrong !!!,Dường như khóa xuất bản hoặc khóa ẩn có sai sót !!!,
"Seems issue with server's razorpay config. Don't worry, in case of failure amount will get refunded to your account.","Dường như có vấn đề với cấu hình razorpay của máy chủ. Đừng lo lắng, trong trường hợp thiếu hụt, số tiền sẽ được hoàn trả vào tài khoản của bạn.",
Seems token you are using is invalid!,Dường như mã thông báo bạn đang sử dụng không hợp lệ!,
Server Error,Lỗi máy chủ,
Session Defaults,Mặc định phiên,
Signature,Chữ ký,
Some information is missing,Một số thông tin là mất tích,
Something went wrong,Có gì đó sai sót,
Staging,Dàn dựng,
Stripe Settings,Cài đặt Sọc,
Success,Sự thành công,
System Manager,Hệ thống quản lý,
"There seems to be an issue with the server's GoCardless configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Có vẻ như có vấn đề với cấu hình GoCardless của máy chủ. Đừng lo lắng, trong trường hợp thất bại, số tiền sẽ được hoàn lại vào tài khoản của bạn.",
"There seems to be an issue with the server's braintree configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Có vẻ như có vấn đề với cấu hình Braintree của máy chủ. Đừng lo lắng, trong trường hợp thất bại, số tiền sẽ được hoàn lại vào tài khoản của bạn.",
Till Number,Số đến giờ,
Transaction Error,Lỗi Giao dịch,
Uncleared Balance,Số dư không rõ ràng,
Use Sandbox,sử dụng Sandbox,
View Website,Xem trang web,
Webhooks Secret,Webhooks bí mật,
Website,Website,
You are not allowed to update this Web Form Document,Bạn không được phép cập nhật,
You must login to submit this form,Bạn phải đăng nhập để trình duyệt mẫu này,
Your payment has been successfully registered.,Thanh toán của bạn đã được đăng ký thành công.,
Your payment has failed.,Thanh toán của bạn đã không thành công.,
Your payment is cancelled.,Thanh toán của bạn bị hủy.,
Your payment was successfully accepted,thanh toán của bạn đã được chấp nhận thành công,
john@doe.com,john@doe.com,
{0} Settings not found,{0} Cài đặt không tìm thấy,
